,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
910,510,178217,ESFP ESFJ ISFP ISFJ ISTP ,기동전사 건담 썬더볼트: 밴디트 플라워,Mobile Suit Gundam Thunderbolt : Bandit Flower,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178217,https://ssl.pstatic.net/imgmovie/mdi/mit110/1782/178217_P01_110558.jpg,2017,마츠오 코우,"['나카무라 유이치', '키무라 료헤이', '히라카와 다이스케', '유키나리 토아']",9.0
915,511,30076,ESFP ,콜드 마운틴,Cold Mountain,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30076,https://ssl.pstatic.net/imgmovie/mdi/mit110/0300/C0076-00.jpg,2003,안소니 밍겔라,"['주드 로', '니콜 키드먼', '르네 젤위거']",9.04
917,514,136845,ESFP ESFJ INFP ,플로렌스,Florence Foster Jenkins,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136845,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136845_P15_135930.jpg,2016,스티븐 프리어즈,"['메릴 스트립', '휴 그랜트', '사이몬 헬버그', '레베카 퍼거슨']",8.46
918,515,103765,ESFP ESTP ESTJ ENFP ISTJ INFP ,아더 우먼,The Other Woman,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103765,https://ssl.pstatic.net/imgmovie/mdi/mit110/1037/103765_P16_103630.jpg,2014,닉 카사베츠,"['니콜라이 코스터-왈도', '레슬리 만', '카메론 디아즈', '케이트 업튼', '돈 존슨']",7.36
919,516,54435,ESFP ESFJ ESTP ESTJ ENFJ ENTP ISFJ ISTJ INTP ,내니 맥피 - 우리 유모는 마법사,Nanny McPhee,https://movie.naver.com/movie/bi/mi/basic.nhn?code=54435,https://ssl.pstatic.net/imgmovie/mdi/mit110/0544/E4435-00.jpg,2005,커크 존스,['엠마 톰슨'],8.6
921,517,125475,ESFP ISFP ISTP ,하이-라이즈,High-Rise,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125475,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125475_P15_175350.jpg,2015,벤 휘틀리,"['톰 히들스턴', '제레미 아이언스', '시에나 밀러', '루크 에반스']",5.96
924,518,74767,ESFP ENTJ ISTJ INTJ ,더 씽,The Thing,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74767,https://ssl.pstatic.net/imgmovie/mdi/mit110/0747/74767_P04_113452.jpg,2011,매티스 반 헤이닌겐 주니어,"['메리 엘리자베스 윈스티드', '에릭 크리스찬 올슨', '조엘 에저튼', '율리히 톰센']",7.88
928,519,72055,ESFP ESTJ ,슈퍼,Super,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72055,https://ssl.pstatic.net/imgmovie/mdi/mit110/0720/72055_P02_150148.jpg,2010,제임스 건,"['레인 윌슨', '엘리엇 페이지', '리브 타일러', '케빈 베이컨', '마이클 루커']",8.05
929,519,74415,ESFP ESTJ ,케로로 더무비 : 기적의 사차원섬,Sergeant Keroro The Super Duper Movie 5: Adventure In Space Time Island,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74415,https://ssl.pstatic.net/imgmovie/mdi/mit110/0744/74415_P00_112157.jpg,2010,야마구치 스스무,"['와타나베 쿠미코', '쿠와시마 호우코', '마츠모토 타마키', '혼조 유타로', '치바 시게루']",8.01
930,519,79872,ESFP ESTJ ,하이브리드,Hybrid,https://movie.naver.com/movie/bi/mi/basic.nhn?code=79872,https://ssl.pstatic.net/imgmovie/mdi/mit110/0798/79872_P01_104438.jpg,2010,에릭 발렛,"['샤넌 벡너', '오데드 페르']",3.77
931,519,75845,ESFP ESTJ ,뷰티 달링,Beautiful Darling,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75845,https://ssl.pstatic.net/imgmovie/mdi/mit110/0758/75845_P01_154227.jpg,2010,제임스 라신,['조지 아바그날로'],5.5
934,519,99985,ESFP ESTJ ,어 슈퍼 듀퍼 이그조틱 에로틱 페티쉬 섹시 머스트 시 스토리… 어 트래저디 오브 오리엔탈 프로포션즈,A Super Duper Exotic Erotic Fetish Sexy Must See Story... A Tragedy of Oriental Proportions!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99985,https://ssl.pstatic.net/imgmovie/mdi/mit110/0999/99985_P01_155501.jpg,2010,제프 류,"['비키 조 코스탄조', '로저 팬', '파울라 핀즈']",9.0
938,520,171452,ESFP ESTP INFP ,부탁 하나만 들어줘,A Simple Favor,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171452,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171452_P19_174244.jpg,2018,폴 페이그,"['블레이크 라이블리', '안나 켄드릭']",7.77
939,521,10237,ESFP ,7년만의 외출,The Seven Year Itch,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10237,https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/A0237-01.jpg,1955,빌리 와일더,"['마릴린 먼로', '톰 이웰']",7.63
940,522,40100,ESFP ESFJ ESTP ENTP ISFP ISFJ ISTJ ,패시파이어,The Pacifier,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40100,https://ssl.pstatic.net/imgmovie/mdi/mit110/0401/D0100-01.jpg,2005,아담 쉥크만,"['빈 디젤', '로렌 그라함']",7.54
941,524,158669,ESFP ESTP ISTP ISTJ ,보이카: 언디스퓨티드 파이널,Undisputed 4,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158669,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158669_P09_180134.jpg,2016,토도 채프카노브,"['스콧 앳킨스', '테오도라 듀호브니코바', '아론 어바웃불', '줄리언 버고브']",8.62
943,524,76165,ESFP ESTP ISTP ISTJ ,언디스퓨티드 3,Undisputed III: Redemption,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76165,https://ssl.pstatic.net/imgmovie/mdi/mit110/0761/76165_P03_164759.jpg,2010,아이삭 플로렌틴,"['스콧 앳킨스', '미켈 샤넌 젠킨스']",9.14
944,524,67614,ESFP ESTP ISTP ISTJ ,언디스퓨티드 2,Undisputed II: Last Man Standing,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67614,https://ssl.pstatic.net/imgmovie/mdi/mit110/0676/F7614-01.jpg,2006,아이삭 플로렌틴,"['마이클 제이 화이트', '스콧 앳킨스']",8.3
945,524,35619,ESFP ESTP ISTP ISTJ ,언디스퓨티드,Undisputed,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35619,https://ssl.pstatic.net/imgmovie/mdi/mit110/0356/35619_P22_175637.jpg,2002,월터 힐,"['웨슬리 스나입스', '빙 라메스']",6.82
946,525,127391,ESFP ESTJ ENFP ENFJ ENTP INTP ,메리 셸리: 프랑켄슈타인의 탄생,Mary Shelley,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127391,https://ssl.pstatic.net/imgmovie/mdi/mit110/1273/127391_P15_141017.jpg,2017,하이파 알 만수르,"['엘르 패닝', '더글러스 부스']",8.29
947,527,87566,ESFP ESFJ ENFP ISFJ INFJ ,언터처블: 1%의 우정,Untouchable,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87566,https://ssl.pstatic.net/imgmovie/mdi/mit110/0875/87566_P05_171824.jpg,2011,올리비에르 나카체,"['프랑수아 클루제', '오마 사이']",9.34
948,528,86861,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이: 19금 동창회,American Reunion,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86861,https://ssl.pstatic.net/imgmovie/mdi/mit110/0868/86861_P33_180745.jpg,2012,존 허위츠,"['제이슨 빅스', '타라 레이드', '크리스 클라인', '앨리슨 해니건', '숀 윌리엄 스코트', '미나 수바리', '에디 케이 토마스', '토마스 이안 니콜라스']",8.14
949,528,74283,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 7 - 사랑의 금서,American Pie Presents: The Book Of Love,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74283,https://ssl.pstatic.net/imgmovie/mdi/mit110/0742/74283_P01_111345.jpg,2009,존 푸치,"['버그 홀', '케빈 M. 호튼', '브랜던 하디스티', '베스 비어스', '멜라니 페퍼리아', '제니퍼 홀랜드', '존 패트릭 조던']",5.46
951,528,45771,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 6 - 베타 하우스,American Pie Presents: Beta House,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45771,https://ssl.pstatic.net/imgmovie/mdi/mit110/0457/D5771-01.jpg,2007,앤드류 월러,"['로비 아멜', '브래드포드 앤더슨']",5.91
952,528,65660,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 5,American Pie Presents The Naked Mile,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65660,https://ssl.pstatic.net/imgmovie/mdi/mit110/0656/F5660-01.jpg,2006,조 너스바움,"['존 화이트', '제시 슈람', '스티브 탤리', '크리스토퍼 맥도날드', '유진 레비']",5.96
953,528,56151,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 4 - 썸머 캠프,American Pie Presents Band Camp,https://movie.naver.com/movie/bi/mi/basic.nhn?code=56151,https://ssl.pstatic.net/imgmovie/mdi/mit110/0561/E6151-01.jpg,2005,스티븐 래쉬,"['유진 레비', '태드 힐근브링크', '아리엘 케벨', '제이슨 얼스', '크리스틀 라이트닝', '준 히 리', '맷 바', '크리스 오웬']",5.42
954,528,37387,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 3 - 아메리칸 웨딩,American Wedding,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37387,https://ssl.pstatic.net/imgmovie/mdi/mit110/0373/C7387-01.jpg,2003,제스 딜런,"['제이슨 빅스', '몰리 치크', '앨리슨 해니건', '재뉴어리 존스', '토마스 이안 니콜라스', '숀 윌리엄 스코트', '에디 케이 토마스', '프레드 윌러드', '유진 레비']",7.44
955,528,32225,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이 2,American Pie 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32225,https://ssl.pstatic.net/imgmovie/mdi/mit110/0322/C2225-00.jpg,2001,J.B. 로저스,"['제이슨 빅스', '섀넌 엘리자베스', '앨리슨 해니건', '크리스 클라인', '토마스 이안 니콜라스', '나타샤 리온', '타라 레이드', '숀 윌리엄 스코트', '미나 수바리']",7.99
956,528,25404,ESFP ESFJ ESTP ENFP ENFJ ISFP ISTP ISTJ INFP INTP INTJ ,아메리칸 파이,American Pie,https://movie.naver.com/movie/bi/mi/basic.nhn?code=25404,https://ssl.pstatic.net/imgmovie/mdi/mit110/0254/B5404-00.jpg,1999,폴 웨이츠,"['제이슨 빅스', '섀넌 엘리자베스', '앨리슨 해니건', '크리스 클라인', '나타샤 리온', '토마스 이안 니콜라스', '타라 레이드', '숀 윌리엄 스코트', '미나 수바리', '에디 케이 토마스', '유진 레비']",8.06
957,529,14964,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP ,블루스 브라더스,The Blues Brothers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14964,https://ssl.pstatic.net/imgmovie/mdi/mit110/0149/A4964-00.jpg,1980,존 랜디스,"['존 벨루시', '댄 애크로이드']",9.17
958,530,71941,ESFP ESTP ENTJ ISFJ ISTP INFJ ,테이커스,Takers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71941,https://ssl.pstatic.net/imgmovie/mdi/mit110/0719/71941_P08_120556.jpg,2010,존 루슨홉,"['맷 딜런', '폴 워커', '이드리스 엘바', '제이 헤르난데즈', '마이클 엘리', '티아이', '크리스 브라운', '헤이든 크리스텐슨']",7.15
959,531,18898,ESFP ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP INFP INFJ INTP INTJ ,몰래츠,Mallrats,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18898,https://ssl.pstatic.net/imgmovie/mdi/mit110/0188/A8898-00.jpg,1995,케빈 스미스,"['제레미 런던', '제이슨 리', '섀넌 도허티', '클레어 폴라니', '벤 애플렉', '조이 로렌 아담스', '레니 험프리', '제이슨 미웨스', '에단 서플리', '스탠 리', '케빈 스미스', '프리실라 반즈', '마이클 루커']",7.65
960,532,44898,ESFP ESFJ ESTP ESTJ ENFP ENTP ISTP ISTJ INTP ,플래닛 테러,Planet Terror,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44898,https://ssl.pstatic.net/imgmovie/mdi/mit110/0448/D4898-00.jpg,2007,로버트 로드리게즈,"['로즈 맥고완', '프레디 로드리게스']",7.58
961,532,62567,ESFP ESFJ ESTP ESTJ ENFP ENTP ISTP ISTJ INTP ,그라인드하우스,Grindhouse,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62567,https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/F2567-01.jpg,2007,로버트 로드리게즈,"['로즈 맥고완', '커트 러셀', '프레디 로드리게스', '마리 쉘톤', '마이클 빈', '로사리오 도슨', '바네사 페를리토']",8.13
964,535,90863,ESFP ESFJ ESTP ESTJ ENFJ ISFJ ISTJ ,페인 앤 게인,Pain and Gain,https://movie.naver.com/movie/bi/mi/basic.nhn?code=90863,https://ssl.pstatic.net/imgmovie/mdi/mit110/0908/90863_P02_150310.jpg,2013,마이클 베이,"['드웨인 존슨', '마크 월버그', '에드 해리스', '안소니 마키', '토니 샬호브']",7.02
965,536,123630,ESFP ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INTP INTJ ,트랜스포머: 최후의 기사,Transformers: The Last Knight,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123630,https://ssl.pstatic.net/imgmovie/mdi/mit110/1236/123630_P39_100640.jpg,2017,마이클 베이,"['마크 월버그', '로라 하드독', '조쉬 더하멜', '안소니 홉킨스']",6.27
966,536,100691,ESFP ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INTP INTJ ,트랜스포머: 사라진 시대,Transformers: Age of Extinction,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100691,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100691_P20_111038.jpg,2014,마이클 베이,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']",6.58
973,536,70241,ESFP ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INTP INTJ ,트랜스포머 3,Transformers: Dark Of The Moon,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70241,https://ssl.pstatic.net/imgmovie/mdi/mit110/0702/70241_P00_184535.jpg,2011,마이클 베이,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']",7.06
975,537,41375,ESFP ESFJ ESTJ ,신데렐라 맨,Cinderella Man,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41375,https://ssl.pstatic.net/imgmovie/mdi/mit110/0413/41375_P30_152425.jpg,2005,론 하워드,"['러셀 크로우', '르네 젤위거']",9.25
976,538,36679,ESFP ESTP ESTJ ISFJ ISTP ISTJ INFP INTJ ,데스티네이션 2,Final Destination 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36679,https://ssl.pstatic.net/imgmovie/mdi/mit110/0366/C6679-00.jpg,2003,데이빗 R. 엘리스,"['알리 라터', 'A.J.쿡', '마이클 랜디스', '테렌스 카슨', '조나단 체리', '키건 코너 트레이시']",7.55
977,539,10989,ESFP ENFP ISFJ ISTJ ,핑크빛 연인,Pretty In Pink,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10989,https://ssl.pstatic.net/imgmovie/mdi/mit110/0109/A0989-01.jpg,1986,하워드 도이치,"['몰리 링월드', '존 크라이어', '해리 딘 스탠튼', '앤드류 맥카시', '애니 파츠', '제임스 스페이더']",7.43
978,540,66026,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅,RoboCop,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66026,https://ssl.pstatic.net/imgmovie/mdi/mit110/0660/66026_P15_105110.jpg,2014,호세 파딜라,"['조엘 킨나만', '사무엘 L. 잭슨', '게리 올드만']",8.0
979,540,66545,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅 4,RoboCop: Prime Directives,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66545,https://ssl.pstatic.net/imgmovie/mdi/mit110/0665/F6545-01.jpg,2000,줄리안 그랜트,"['페이지 플레처', '모리스 딘 윈트', '마리아 델 마르']",6.58
980,540,19116,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅 - TV 시리즈,RoboCop,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19116,https://ssl.pstatic.net/imgmovie/mdi/mit110/0191/A9116-01.jpg,1994,폴 린치,"['리처드 에덴', '블루 만쿠마']",6.42
981,540,11817,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅 3,RoboCop 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11817,https://ssl.pstatic.net/imgmovie/mdi/mit110/0118/A1817-00.jpg,1993,프레드 덱커,"['로버트 존 버크', '낸시 알렌', '질 헤네시', 'CCH 파운더', '레미 라이언', '이와마츠 마코']",5.81
982,540,10218,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅 2,Robocop 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10218,https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/A0218-00.jpg,1990,어빈 커쉬너,"['피터 웰러', '낸시 알렌']",7.7
983,540,10217,ESFP ESTP ESTJ ENTP ENTJ ISFJ ISTP ISTJ INTP ,로보캅,RoboCop,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10217,https://ssl.pstatic.net/imgmovie/mdi/mit110/0102/A0217-00.jpg,1987,폴 버호벤,"['피터 웰러', '낸시 알렌', '댄 오헐리히', '로니 콕스', '커트우드 스미스']",9.25
984,541,27913,ESFP ESTP ENFJ ENTP ,점원들,Clerks.,https://movie.naver.com/movie/bi/mi/basic.nhn?code=27913,https://ssl.pstatic.net/imgmovie/mdi/mit110/0279/B7913-00.jpg,1994,케빈 스미스,"['브라이언 오할로런', '제프 앤더슨']",8.47
985,542,42252,ESFP ESTP ESTJ INTP ,배드 뉴스 베어즈,Bad News Bears,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42252,https://ssl.pstatic.net/imgmovie/mdi/mit110/0422/D2252-01.jpg,2005,리처드 링클레이터,"['빌리 밥 손튼', '그렉 키니어', '마샤 게이 하든']",7.13
986,543,74451,ESFP ESFJ ENFP ENFJ ISFJ ISTP ISTJ INFP ,배드 티처,Bad Teacher,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74451,https://ssl.pstatic.net/imgmovie/mdi/mit110/0744/74451_P01_162951.jpg,2011,제이크 캐스단,"['카메론 디아즈', '제이슨 세걸']",6.4
987,544,11002,ESFP ENTP ENTJ ISFP ISFJ INFP INTP INTJ ,혹성탈출,Planet Of The Apes,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11002,https://ssl.pstatic.net/imgmovie/mdi/mit110/0110/A1002-01.jpg,1968,프랭클린 J. 샤프너,"['찰톤 헤스톤', '로디 맥도웰', '킴 헌터', '모리스 에반스', '제임스 휘트모어', '제임스 댈리', '린다 해리슨']",9.23
988,545,42809,ESFP ISFP ISFJ INFP ,마음이...,Heart Is,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42809,https://ssl.pstatic.net/imgmovie/mdi/mit110/0428/D2809-03.jpg,2006,박은형,"['유승호', '달이', '김향기']",8.96
989,545,45045,ESFP ISFP ISFJ INFP ,닐 영 - 하트 오브 골드,Neil Young: Heart Of Gold,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45045,https://ssl.pstatic.net/imgmovie/mdi/mit110/0450/D5045-01.jpg,2006,조나단 드미,"['임미루 해리스', '벤 키스', '닐 영', '페기 영']",2.33
991,545,64257,ESFP ISFP ISFJ INFP ,인큐버스,Incubus,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64257,https://ssl.pstatic.net/imgmovie/mdi/mit110/0642/F4257-01.jpg,2006,앤야 카밀레리,"['타라 레이드', '아켐니 느디퍼니안']",1.41
998,546,16201,ESFP ESTP ENFP ENTP ENTJ ISFP ISFJ INTP ,트루 로맨스,True Romance,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16201,https://ssl.pstatic.net/imgmovie/mdi/mit110/0162/A6201-00.jpg,1993,토니 스콧,"['크리스찬 슬레이터', '패트리샤 아퀘트']",8.26
1000,547,168298,ESFP ESFJ ISFP ISTJ INFP ,지금 만나러 갑니다,Be With You,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168298,https://ssl.pstatic.net/imgmovie/mdi/mit110/1682/168298_P26_135156.jpg,2017,이장훈,"['소지섭', '손예진']",8.75
1001,547,173814,ESFP ESFJ ISFP ISTJ INFP ,상재니좌우,Always Be with You,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173814,https://ssl.pstatic.net/imgmovie/mdi/mit110/1738/173814_P01_155658.jpg,2017,구예도,"['고천락', '장지림', '여시만', '채탁연']",7.0
1003,547,126386,ESFP ESFJ ISFP ISTJ INFP ,고녀석 맛나겠다2 : 함께라서 행복해,You Are So Yummy - Happy to Be with You,https://movie.naver.com/movie/bi/mi/basic.nhn?code=126386,https://ssl.pstatic.net/imgmovie/mdi/mit110/1263/126386_P45_135334.jpg,2015,최경석,"['엄상현', '시영준', '안장혁', '김희선', '이경태', '와타나베 마리나', '다케우치 준코', '타카나시 켄고', '야마구치 캇페이', '카카즈 유미']",8.41
1007,547,39636,ESFP ESFJ ISFP ISTJ INFP ,"지금, 만나러 갑니다",Be With You,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39636,https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/39636_P23_170832.jpg,2004,도이 노부히로,"['다케우치 유코', '나카무라 시도', '다케이 아카시']",9.35
1008,548,68537,ESFP ESTP ESTJ ISFP INTP ,클로버필드,Cloverfield,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68537,https://ssl.pstatic.net/imgmovie/mdi/mit110/0685/F8537-01.jpg,2008,맷 리브스,"['리지 캐플란', '제시카 루카스', 'T.J. 밀러', '마이클 스탈 데이빗', '마이크 보겔', '오데트 애나벨']",6.99
1009,549,119431,ESFP ESFJ ENTP ISFP ISFJ INTJ ,팬,Pan,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119431,https://ssl.pstatic.net/imgmovie/mdi/mit110/1194/119431_P11_135004.jpg,2015,조 라이트,"['휴 잭맨', '가렛 헤드룬드', '루니 마라', '리바이 밀러', '아만다 사이프리드']",7.77
1012,550,118917,ESFP ESTJ ENFP ISFJ INFJ ,인턴,The Intern,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118917_P12_152006.jpg,2015,낸시 마이어스,"['로버트 드 니로', '앤 해서웨이']",9.01
1013,551,37461,ESFP ENFP ENTP INFP ,알렉산더,Alexander,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37461,https://ssl.pstatic.net/imgmovie/mdi/mit110/0374/37461_P50_151018.jpg,2004,올리버 스톤,"['콜린 파렐', '안소니 홉킨스', '안젤리나 졸리', '발 킬머', '자레드 레토']",7.0
1015,553,26340,ESFP ESTP ENFJ ,쉬즈 올 댓,She's All That,https://movie.naver.com/movie/bi/mi/basic.nhn?code=26340,https://ssl.pstatic.net/imgmovie/mdi/mit110/0263/B6340-00.jpg,1999,로버트 이스코브,"['프레디 프린즈 주니어', '레이첼 리 쿡', '매튜 릴라드', '폴 워커', '조디 린 오키프', '케빈 폴락', '키에란 컬킨', '엘든 헨슨', '어셔', '킴벌리 릴 킴 존스', '데비 모건', '팀 매더슨']",7.25
1016,554,29866,ESFP ESFJ ESTP ESTJ ENFP ENTP ISFP ISFJ ISTP ISTJ ,빨간 풍선,Le Ballon Rouge,https://movie.naver.com/movie/bi/mi/basic.nhn?code=29866,https://ssl.pstatic.net/imgmovie/mdi/mit110/0298/B9866-01.jpg,1956,알베르 라모리스,"['파스칼 라모리즈', '사빈느 라모리즈']",8.0
1017,555,175092,ESFP ,먼 훗날 우리,Us and Them,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175092,https://ssl.pstatic.net/imgmovie/mdi/mit110/1750/175092_P01_165728.jpg,2018,유약영,"['정백연', '주동우', '톈좡좡']",9.15
1018,556,62799,ESFP ENFP ENTJ ISFP INFJ INTP ,아더와 미니모이: 제1탄 비밀 원정대의 출정,Arthur And The Minimoys,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62799,https://ssl.pstatic.net/imgmovie/mdi/mit110/0627/F2799-00.jpg,2006,뤽 베송,"['프레디 하이모어', '미아 패로']",8.48
1019,557,45157,ESFP ESFJ ENTJ ISFP ISTJ ,스텝포드 와이브스,The Stepford Wives,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45157,https://ssl.pstatic.net/imgmovie/mdi/mit110/0451/D5157-01.jpg,1975,브라이언 포브스,"['캐서린 로스', '폴라 프렌티스']",9.0
1020,558,52601,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISTP INFP INTJ ,어드벤처랜드,Adventureland,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52601,https://ssl.pstatic.net/imgmovie/mdi/mit110/0526/E2601-01.jpg,2009,그렉 모톨라,"['제시 아이젠버그', '크리스틴 스튜어트']",8.13
1021,559,15299,ESFP ESTJ ISTP ,밀러스 크로싱,Miller's Crossing,https://movie.naver.com/movie/bi/mi/basic.nhn?code=15299,https://ssl.pstatic.net/imgmovie/mdi/mit110/0152/A5299-00.jpg,1990,조엘 코엔,"['가브리엘 번', '마샤 게이 하든', '존 터투로', '존 폴리토', 'J.E. 프리맨', '알버트 피니']",8.14
1023,561,11604,ESFP ESTP ENFP ENFJ ENTJ ISFP ISTJ INFP ,그렘린 2 - 뉴욕 대소동,Gremlins 2: The New Batch,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11604,https://ssl.pstatic.net/imgmovie/mdi/mit110/0116/11604_P02_220901.jpg,1990,죠 단테,"['자크 걸리건', '피비 케이츠', '존 글로버', '로버트 프로스키', '로버트 피카르도', '크리스토퍼 리', '하빌랜드 모리스']",7.48
1026,564,172174,ESFP ISFJ ISTP ,어느 가족,Shoplifters,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172174,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172174_P20_110537.jpg,2018,고레에다 히로카즈,"['릴리 프랭키', '안도 사쿠라', '마츠오카 마유', '키키 키린', '죠 카이리', '사사키 미유']",9.21
1027,564,118997,ESFP ISFJ ISTP ,샵리프터 오브 더 월드,Shoplifters of the World,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118997,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118997_P01_120110.JPG,2017,스테판 키작,"['조 맨가니엘로', '이사벨 퍼만', '사샤 레인', '엘라 콜트레인']",7.0
