,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
1987,1109,12747,ESFJ ESTP ENTP ISFJ INFP ,문스트럭,Moonstruck,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12747,https://ssl.pstatic.net/imgmovie/mdi/mit110/0127/A2747-01.jpg,1987,노만 주이슨,"['셰어', '니콜라스 케이지']",8.18
1988,1110,92003,ESFJ ESTJ ENFJ ENTJ ISFP ISFJ INFP INTJ ,말레피센트,Maleficent,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92003,https://ssl.pstatic.net/imgmovie/mdi/mit110/0920/92003_P10_135709.jpg,2014,로버트 스트롬버그,"['안젤리나 졸리', '엘르 패닝', '샬토 코플리', '주노 템플']",8.24
1989,1113,11093,ESFJ INTP ,플라이,The Fly,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11093,https://ssl.pstatic.net/imgmovie/mdi/mit110/0110/11093_P03_173852.jpg,1986,데이비드 크로넨버그,"['제프 골드브럼', '지나 데이비스', '존 게츠']",8.64
1991,1114,64178,ESFJ ESTP ,나이스 가이 노빗,Norbit,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64178,https://ssl.pstatic.net/imgmovie/mdi/mit110/0641/F4178-01.jpg,2007,브라이언 로빈스,"['에디 머피', '탠디 뉴튼']",6.47
1992,1115,18702,ESFJ ENFP ENFJ ISTP INTJ ,에드 우드,Ed Wood,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18702,https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/A8702-00.jpg,1994,팀 버튼,['조니 뎁'],8.65
1993,1116,54704,ESFJ ISFP ISTP INFP INFJ ,오펀: 천사의 비밀,Orphan,https://movie.naver.com/movie/bi/mi/basic.nhn?code=54704,https://ssl.pstatic.net/imgmovie/mdi/mit110/0547/54704_P00_103408.jpg,2009,자움 콜렛 세라,"['베라 파미가', '피터 사스가드', '이사벨 퍼만']",8.39
1994,1117,18815,ESFJ ENTP ISFP INTP ,로리타,Lolita,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18815,https://ssl.pstatic.net/imgmovie/mdi/mit110/0188/A8815-01.jpg,1962,스탠리 큐브릭,"['제임스 메이슨', '쉘리 윈터스', '수 라이온']",8.31
1995,1119,16998,ESFJ ESTJ ISTJ ,후크,Hook,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16998,https://ssl.pstatic.net/imgmovie/mdi/mit110/0169/A6998-00.jpg,1991,스티븐 스필버그,"['더스틴 호프만', '로빈 윌리엄스', '줄리아 로버츠', '밥 호스킨스']",9.13
1996,1120,32972,ESFJ ENTP ENTJ ISTJ INFJ ,컨테이젼,Contagion,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32972,https://ssl.pstatic.net/imgmovie/mdi/mit110/0329/32972_P19_110602.jpg,2011,스티븐 소더버그,"['마리옹 꼬띠아르', '맷 데이먼', '로렌스 피시번', '주드 로', '기네스 팰트로', '케이트 윈슬렛']",8.28
1997,1121,10042,ESFJ ENTP ISFP ,콰이강의 다리,The Bridge On The River Kwai,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10042,https://ssl.pstatic.net/imgmovie/mdi/mit110/0100/A0042-00.jpg,1957,데이비드 린,"['윌리엄 홀든', '잭 호킨스', '알렉 기네스', '하야카와 세슈', '제임스 도날드', '제프리 호른']",8.87
1998,1122,13632,ESFJ ESTP ESTJ ENFP ,아파트 열쇠를 빌려드립니다,The Apartment,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13632,https://ssl.pstatic.net/imgmovie/mdi/mit110/0136/A3632-01.jpg,1960,빌리 와일더,"['잭 레먼', '셜리 맥클레인', '프레드 맥머레이', '레이 월스톤']",8.93
1999,1123,61060,ESFJ ESTJ ENTP ENTJ ISTP INFP INTP ,몬스터 하우스,Monster House,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61060,https://ssl.pstatic.net/imgmovie/mdi/mit110/0610/F1060-01.jpg,2006,길 키넌,"['밋첼 머소', '샘 러너', '스펜서 로크', '스티브 부세미', '매기 질렌할']",7.38
2000,1125,72242,ESFJ ESTP ESTJ ENFP ,듀 데이트,Due Date,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72242,https://ssl.pstatic.net/imgmovie/mdi/mit110/0722/72242_P03_165415.jpg,2010,토드 필립스,"['로버트 다우니 주니어', '자흐 갈리피아나키스', '미셸 모나한', '제이미 폭스', '줄리엣 루이스', '대니 맥브라이드']",7.19
2001,1126,69099,ESFJ ,P.S 아이 러브 유,P.S. I Love You,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69099,https://ssl.pstatic.net/imgmovie/mdi/mit110/0690/F9099-00.jpg,2007,리처드 라그라브네스,"['힐러리 스웽크', '제라드 버틀러']",8.36
2002,1127,71081,ESFJ ESTP ENFP ISFP ,블라인드 사이드,The Blind Side,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71081,https://ssl.pstatic.net/imgmovie/mdi/mit110/0710/71081_P18_102228.jpg,2009,존 리 행콕,['산드라 블록'],9.33
2003,1128,125434,ESFJ ENFJ INTP ,이레셔널 맨,Irrational Man,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125434,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125434_P30_161911.jpg,2015,우디 앨런,"['엠마 스톤', '호아킨 피닉스', '제이미 블랙리', '파커 포시']",7.82
2006,1132,17496,ESFJ ESTJ ENFP ISTP INFP ,버드케이지,The Birdcage,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17496,https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7496-00.jpg,1996,마이크 니콜스,"['로빈 윌리엄스', '진 핵크만', '네이단 레인', '다이앤 위스트']",8.0
2007,1133,86843,ESFJ INFP INTP ,케빈에 대하여,We Need to Talk About Kevin,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86843,https://ssl.pstatic.net/imgmovie/mdi/mit110/0868/86843_P46_173726.jpg,2011,린 램지,"['틸다 스윈튼', '에즈라 밀러', '존 C. 라일리']",8.34
2008,1134,30864,ESFJ ESTP ENTP ENTJ INFJ ,올모스트 페이머스,Almost Famous,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30864,https://ssl.pstatic.net/imgmovie/mdi/mit110/0308/C0864-00.jpg,2000,카메론 크로우,"['빌리 크루덥', '프란시스 맥도맨드', '케이트 허드슨', '제이슨 리', '패트릭 후짓', '안나 파킨', '페어루자 볼크', '노아 테일러']",8.3
2009,1135,182014,ESFJ ESTP ENFJ ISFP ISFJ ISTJ INTJ ,미드소마,Midsommar,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182014,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182014_P38_104520.jpg,2019,아리 에스터,"['윌 폴터', '플로렌스 퓨', '윌리엄 잭슨 하퍼', '잭 레이너']",6.17
2011,1137,33795,ESFJ ESTP ESTJ ENFJ ENTP ISFP ISTP INFJ INTP ,도니 다코,Donnie Darko,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33795,https://ssl.pstatic.net/imgmovie/mdi/mit110/0337/C3795-00.jpg,2001,리차드 켈리,['제이크 질렌할'],7.33
2012,1138,35189,ESFJ ISFJ ISTP INFP ,펀치 드렁크 러브,Punch-Drunk Love,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35189,https://ssl.pstatic.net/imgmovie/mdi/mit110/0351/C5189-00.jpg,2002,폴 토마스 앤더슨,"['아담 샌들러', '에밀리 왓슨']",7.71
2013,1139,72327,ESFJ ISFP ,127 시간,127 Hours,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72327,https://ssl.pstatic.net/imgmovie/mdi/mit110/0723/72327_P00_155200.jpg,2010,대니 보일,['제임스 프랭코'],8.17
2014,1140,32552,ESFJ ESTP INFJ ,상실의 시대,Lost And Delirious,https://movie.naver.com/movie/bi/mi/basic.nhn?code=32552,https://ssl.pstatic.net/imgmovie/mdi/mit110/0325/C2552-00.jpg,2001,레아 풀,"['파이퍼 페라보', '제시카 파레']",8.65
2015,1141,11210,ESFJ ESTJ ENTP ISFJ INFP INTP ,페리스의 해방,Ferris Bueller's Day Off,https://movie.naver.com/movie/bi/mi/basic.nhn?code=11210,https://ssl.pstatic.net/imgmovie/mdi/mit110/0112/A1210-00.jpg,1986,존 휴즈,"['매튜 브로데릭', '앨런 럭', '미아 사라', '제니퍼 그레이']",8.57
2016,1142,46831,ESFJ ESTP ENTP ISFJ INFP ,사랑이 어떻게 변하니?,Forgetting Sarah Marshall,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46831,https://ssl.pstatic.net/imgmovie/mdi/mit110/0468/D6831-01.jpg,2008,니콜라스 스톨러,"['제이슨 세걸', '크리스틴 벨']",8.01
2017,1143,199864,ESFJ ESTP ENFJ ISFJ ISTP INFJ ,크리스마스 연대기: 두 번째 이야기,The Christmas Chronicles,https://movie.naver.com/movie/bi/mi/basic.nhn?code=199864,https://ssl.pstatic.net/imgmovie/mdi/mit110/1998/199864_P01_173532.jpg,2020,크리스 콜럼버스,"['커트 러셀', '골디 혼', '다비 캠프']",9.35
2018,1143,181917,ESFJ ESTP ENFJ ISFJ ISTP INFJ ,크리스마스 연대기,The Christmas Chronicles,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181917_P01_181653.jpg,2018,클레이 케이티스,"['커트 러셀', '주다 루이스', '다비 캠프']",9.22
2019,1144,38618,ESFJ ISFP INFP INFJ ,빌리지,The Village,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38618,https://ssl.pstatic.net/imgmovie/mdi/mit110/0386/C8618-00.jpg,2004,M. 나이트 샤말란,"['브라이스 달라스 하워드', '호아킨 피닉스', '애드리언 브로디', '윌리엄 허트', '시고니 위버', '브렌단 글리슨']",7.29
2020,1145,28099,ESFJ ESTP ISFJ ISTP INTP ,슬리피 할로우,Sleepy Hollow,https://movie.naver.com/movie/bi/mi/basic.nhn?code=28099,https://ssl.pstatic.net/imgmovie/mdi/mit110/0280/B8099-00.jpg,1999,팀 버튼,"['조니 뎁', '크리스티나 리치']",8.18
2021,1145,60126,ESFJ ESTP ISFJ ISTP INTP ,슬리피 할로우의 전설,The Legend Of Sleepy Hollow,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60126,https://ssl.pstatic.net/imgmovie/mdi/mit110/0601/F0126-01.jpg,1999,피에르 강,"['브렌트 카버', '레이첼 르페브르', '폴 레멜린']",8.5
2022,1146,31085,ESFJ ISFJ INFP INTJ ,언브레이커블,Unbreakable,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31085,https://ssl.pstatic.net/imgmovie/mdi/mit110/0310/C1085-00.jpg,2000,M. 나이트 샤말란,"['브루스 윌리스', '사무엘 L. 잭슨']",7.55
2023,1147,52103,ESFJ ESTP ISFP INFJ ,베스트 키드,The Karate Kid,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52103,https://ssl.pstatic.net/imgmovie/mdi/mit110/0521/52103_P40_100602.jpg,2010,해럴드 즈워트,"['성룡', '제이든 스미스']",8.04
2024,1148,14725,ESFJ ENTP ISFP ISFJ ISTP INFP INTJ ,라비린스,Labyrinth,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14725,https://ssl.pstatic.net/imgmovie/mdi/mit110/0147/14725_P04_180505.jpg,1986,짐 헨슨,"['데이비드 보위', '제니퍼 코넬리']",8.43
2025,1149,31882,ESFJ ENFP INFP ,물랑 루즈,Moulin Rouge,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31882,https://ssl.pstatic.net/imgmovie/mdi/mit110/0318/31882_P33_181301.jpg,2001,바즈 루어만,"['니콜 키드먼', '이완 맥그리거']",9.05
2027,1151,13724,ESFJ ENFP ISFP INTP ,맨하탄,Manhattan,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13724,https://ssl.pstatic.net/imgmovie/mdi/mit110/0137/A3724-01.jpg,1979,우디 앨런,"['우디 앨런', '다이안 키튼', '마이클 머피', '마리엘 헤밍웨이', '메릴 스트립', '앤 번 호프만']",7.96
2028,1153,52435,ESFJ ENTJ ISFP ,마터스: 천국을 보는 눈,Martyrs,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52435,https://ssl.pstatic.net/imgmovie/mdi/mit110/0524/52435_P01_123041.jpg,2008,파스칼 로지에,"['모르자나 아나위', '밀레느 잠파노이']",6.65
